group,category,t_Precision,t_Recall,t_IoU,v_Precision,v_Recall,v_IoU,v_IoU_Int
overall,overall,0.3828803700428522,0.1953360662782272,0.1640302651008298,0.13010000427085863,0.06495810508585548,0.054711847229923956,0.33637192837765895
object size,<10%,0.40937038236982715,0.20459312704862642,0.17565110052599286,0.09064400483233102,0.041792577683221255,0.036632523366626174,0.21382201094350076
object size,10%-30%,0.369069630429719,0.20044113625920007,0.1666192271297303,0.1592760657296142,0.08686848898465885,0.0734466861838223,0.42190591815064615
object size,>30%,0.3477448176950141,0.16759712139486013,0.13489876998730263,0.16955380443808596,0.08269943823476683,0.06612197229283386,0.48078780937665194
video duration,<1min,0.7834272022618792,0.7580121604393449,0.6465996174474298,0.2518952922717935,0.23983724216830968,0.20598332449523454,0.3135688903101668
video duration,1-10min,0.4386051889408863,0.24269260627113456,0.19734446687018747,0.14971239889374496,0.08432122674728569,0.06860627966117337,0.3445220183013117
video duration,10-30min,0.23861963537019745,0.04770193944658679,0.04102154741693535,0.08466592185309085,0.016778575262806277,0.014446833652796455,0.34519643564412417
gt duration,<3s,0.30608572713835874,0.20949720670391062,0.1669586155619675,0.10518468970482696,0.06735689866777256,0.05597866278644718,0.3294599922546049
gt duration,3-10s,0.3817425286151817,0.21220835487864115,0.17627637109190883,0.12900120327126288,0.06941055318686158,0.057369716461374246,0.3339752811472595
gt duration,10-60s,0.41251954874224606,0.1472319670419119,0.1323403628912545,0.14139549026802925,0.05285096298418304,0.047556990572872986,0.34274374507562716
